index,time,student_id,venue_id,meal_type_id,stress_level
0,2013-03-24 14:38:30,1,1,4,3.0
82,2013-03-24 14:38:30,1,1,4,
1,2013-03-24 18:58:06,1,5,1,3.0
83,2013-03-24 18:58:06,1,5,1,
2,2013-03-25 12:36:21,1,5,4,3.0
84,2013-03-25 12:36:21,1,5,4,
3,2013-03-25 22:54:22,1,7,1,3.0
85,2013-03-25 22:54:22,1,7,1,
4,2013-03-26 14:28:13,1,7,4,3.0
86,2013-03-26 14:28:13,1,7,4,
5,2013-03-27 12:22:11,1,5,4,4.0
87,2013-03-27 12:22:11,1,5,4,
6,2013-03-27 20:19:18,1,2,1,4.0
88,2013-03-27 20:19:18,1,2,1,
7,2013-03-28 13:21:31,1,2,4,4.0
89,2013-03-28 13:21:31,1,2,4,
8,2013-03-28 19:39:28,1,7,1,4.0
90,2013-03-28 19:39:28,1,7,1,
9,2013-03-29 12:41:49,1,2,4,4.0
91,2013-03-29 12:41:49,1,2,4,
10,2013-03-29 16:13:04,1,2,3,4.0
92,2013-03-29 16:13:04,1,2,3,
11,2013-03-29 19:32:01,1,5,1,4.0
93,2013-03-29 19:32:01,1,5,1,
12,2013-03-30 12:08:45,1,1,4,5.0
94,2013-03-30 12:08:45,1,1,4,
13,2013-04-01 12:42:56,1,2,4,2.0
95,2013-04-01 12:42:56,1,2,4,
14,2013-04-01 16:42:43,1,1,3,2.0
96,2013-04-01 16:42:43,1,1,3,
15,2013-04-01 16:44:44,1,4,3,2.0
97,2013-04-01 16:44:44,1,4,3,
16,2013-04-02 13:00:31,1,5,4,2.0
98,2013-04-02 13:00:31,1,5,4,
17,2013-04-02 20:16:49,1,2,3,2.0
99,2013-04-02 20:16:49,1,2,3,
18,2013-04-03 12:58:42,1,1,4,1.0
100,2013-04-03 12:58:42,1,1,4,
19,2013-04-04 11:40:50,1,4,3,4.0
101,2013-04-04 11:40:50,1,4,3,
20,2013-04-04 13:03:11,1,2,3,4.0
102,2013-04-04 13:03:11,1,2,3,
21,2013-04-04 19:28:03,1,7,1,4.0
103,2013-04-04 19:28:03,1,7,1,
22,2013-04-05 10:56:58,1,4,2,4.0
104,2013-04-05 10:56:58,1,4,2,
23,2013-04-05 15:21:53,1,4,4,4.0
105,2013-04-05 15:21:53,1,4,4,
24,2013-04-06 14:16:29,1,2,4,5.0
106,2013-04-06 14:16:29,1,2,4,
25,2013-04-06 18:08:14,1,5,1,5.0
107,2013-04-06 18:08:14,1,5,1,
26,2013-04-08 12:34:08,1,5,4,1.0
108,2013-04-08 12:34:08,1,5,4,
27,2013-04-08 16:35:10,1,2,1,1.0
109,2013-04-08 16:35:10,1,2,1,
28,2013-04-08 19:10:36,1,7,1,1.0
110,2013-04-08 19:10:36,1,7,1,
29,2013-04-08 21:56:03,1,4,3,1.0
111,2013-04-08 21:56:03,1,4,3,
30,2013-04-08 22:14:27,1,2,3,1.0
112,2013-04-08 22:14:27,1,2,3,
31,2013-04-11 10:14:02,1,4,2,1.0
113,2013-04-11 10:14:02,1,4,2,
32,2013-04-11 16:50:25,1,2,3,1.0
114,2013-04-11 16:50:25,1,2,3,
33,2013-04-12 12:44:58,1,2,4,1.0
115,2013-04-12 12:44:58,1,2,4,
34,2013-04-13 13:13:16,1,5,4,1.0
116,2013-04-13 13:13:16,1,5,4,
35,2013-04-13 19:18:20,1,5,1,1.0
117,2013-04-13 19:18:20,1,5,1,
36,2013-04-15 12:29:20,1,5,4,1.0
118,2013-04-15 12:29:20,1,5,4,
37,2013-04-15 16:42:25,1,2,1,1.0
119,2013-04-15 16:42:25,1,2,1,
38,2013-04-16 17:23:15,1,7,3,1.0
120,2013-04-16 17:23:15,1,7,3,
39,2013-04-17 13:07:37,1,2,4,1.0
121,2013-04-17 13:07:37,1,2,4,
40,2013-04-18 13:13:52,1,2,4,1.0
122,2013-04-18 13:13:52,1,2,4,
41,2013-04-18 18:25:47,1,7,1,1.0
123,2013-04-18 18:25:47,1,7,1,
42,2013-04-19 12:41:42,1,2,3,4.0
124,2013-04-19 12:41:42,1,2,3,
43,2013-04-19 15:44:39,1,2,3,4.0
125,2013-04-19 15:44:39,1,2,3,
44,2013-04-19 23:23:20,1,2,1,4.0
126,2013-04-19 23:23:20,1,2,1,
45,2013-04-20 11:36:33,1,2,4,4.0
127,2013-04-20 11:36:33,1,2,4,
46,2013-04-20 14:49:43,1,2,4,4.0
128,2013-04-20 14:49:43,1,2,4,
47,2013-04-20 17:02:25,1,2,3,4.0
129,2013-04-20 17:02:25,1,2,3,
48,2013-04-21 12:18:52,1,2,4,4.0
130,2013-04-21 12:18:52,1,2,4,
49,2013-04-21 15:21:07,1,2,4,4.0
131,2013-04-21 15:21:07,1,2,4,
50,2013-04-22 09:39:31,1,4,2,4.0
132,2013-04-22 09:39:31,1,4,2,
51,2013-04-22 12:37:31,1,5,4,4.0
133,2013-04-22 12:37:31,1,5,4,
52,2013-04-22 14:30:11,1,2,4,4.0
134,2013-04-22 14:30:11,1,2,4,
53,2013-04-23 20:20:14,1,2,1,4.0
135,2013-04-23 20:20:14,1,2,1,
54,2013-04-24 18:39:34,1,1,1,4.0
136,2013-04-24 18:39:34,1,1,1,
55,2013-04-25 12:53:00,1,2,4,4.0
137,2013-04-25 12:53:00,1,2,4,
56,2013-04-26 12:25:12,1,5,4,4.0
138,2013-04-26 12:25:12,1,5,4,
57,2013-04-26 19:31:29,1,5,1,1.0
139,2013-04-26 19:31:29,1,5,1,
58,2013-04-29 12:46:53,1,7,3,3.0
140,2013-04-29 12:46:53,1,7,3,
59,2013-04-29 16:50:44,1,2,3,3.0
141,2013-04-29 16:50:44,1,2,3,
60,2013-04-30 14:42:05,1,2,4,2.0
142,2013-04-30 14:42:05,1,2,4,
61,2013-05-01 12:19:22,1,5,4,2.0
143,2013-05-01 12:19:22,1,5,4,
62,2013-05-01 14:36:11,1,1,4,2.0
144,2013-05-01 14:36:11,1,1,4,
63,2013-05-02 11:36:46,1,4,4,2.0
145,2013-05-02 11:36:46,1,4,4,
64,2013-05-02 15:04:37,1,2,3,2.0
146,2013-05-02 15:04:37,1,2,3,
65,2013-05-03 10:51:34,1,4,2,2.0
147,2013-05-03 10:51:34,1,4,2,
66,2013-05-03 12:38:37,1,2,3,2.0
148,2013-05-03 12:38:37,1,2,3,
67,2013-05-03 14:26:51,1,1,3,2.0
149,2013-05-03 14:26:51,1,1,3,
68,2013-05-03 20:45:27,1,2,1,2.0
150,2013-05-03 20:45:27,1,2,1,
69,2013-05-04 11:19:37,1,5,4,2.0
151,2013-05-04 11:19:37,1,5,4,
70,2013-05-06 12:37:13,1,5,4,2.0
152,2013-05-06 12:37:13,1,5,4,
71,2013-05-06 16:39:16,1,2,3,2.0
153,2013-05-06 16:39:16,1,2,3,
72,2013-05-06 19:23:45,1,7,1,2.0
154,2013-05-06 19:23:45,1,7,1,
73,2013-05-07 11:56:48,1,7,3,1.0
155,2013-05-07 11:56:48,1,7,3,
74,2013-05-07 20:14:03,1,2,1,1.0
156,2013-05-07 20:14:03,1,2,1,
75,2013-05-08 12:20:12,1,5,4,1.0
157,2013-05-08 12:20:12,1,5,4,
76,2013-05-08 17:26:10,1,7,1,1.0
158,2013-05-08 17:26:10,1,7,1,
77,2013-05-09 13:12:14,1,2,4,1.0
159,2013-05-09 13:12:14,1,2,4,
78,2013-05-09 15:05:58,1,2,4,1.0
160,2013-05-09 15:05:58,1,2,4,
79,2013-05-09 17:29:15,1,4,3,1.0
161,2013-05-09 17:29:15,1,4,3,
80,2013-05-09 17:49:21,1,2,3,1.0
162,2013-05-09 17:49:21,1,2,3,
81,2013-05-09 20:15:15,1,2,1,1.0
163,2013-05-09 20:15:15,1,2,1,
